observationID,scorer_ID,land,dur,att_dur,att_count,att_mean,att_sd,att_por,cop_dur,cop_mean,cop_sd,cop_por,agg_count,avo_count,intro_dur,intro_count,intro_mean,intro_sd,intro_por,vib_dur,vib_count,vib_mean,vib_sd,vib_por,sp,color,exp_ID,exp_date,time,temp,male_ID,male_age,female_ID,female_age,male_mass,female_mass,cop_count,cop_lat
pt_amerF23706xamerM23105,LY,2.7,394.89,153.864,2,76.932,50.113,0.39,34.503,34.503,0,0.087,0,0,68.047,1,68.047,0,0.172,9.049,1,9.049,0,0.023,amer,brown,LY,9/26,12:52,26.9,amer23105,NA,amer23706,45,0.01559,0.03128,1,351.63
pt_amerF23707xamerM23039,LY,4.947,255.76,98.506,4,24.626,30.252,0.385,20.984,20.984,0,0.082,0,0,124.816,5,24.963,20.416,0.488,36.387,5,7.277,4.112,0.142,amer,red,LY,9/19,15:33,27.1,amer23039,NA,amer23707,83,0.01459,0.03534,1,215.846
pt_amerF23710xamerM23085,LY,5.958,926.92,582.435,11,52.949,47.446,0.628,0,0,0,0,0,0,99.92,3,33.307,20.761,0.108,0,0,0,0,0,amer,red,LY,10/5,14:36,26.3,amer23085,NA,amer23710,39,0.01602,0.0252,0,
pt_amerF23713xamerM23016,LY,10.213,174.17,105.284,1,105.284,0,0.604,40.878,40.878,0,0.235,0,0,67.752,1,67.752,0,0.389,7,1,7,0,0.04,amer,red,LY,9/19,15:10,26.9,amer23016,NA,amer23713,81,0.01693,0.03662,1,125.744
pt_amerF23714xamerM23533,LY,4.243,913.41,265.348,19,13.966,16.114,0.291,0,0,0,0,0,0,120.48,5,24.096,9.724,0.132,0,0,0,0,0,amer,red,LY,10/20,13:02,27.6,amer23533,60,amer23714,29,0.01698,0.02402,0,
pt_amerF23718xamerM23079,LY,5.178,931.93,785.088,23,34.134,56.669,0.842,0,0,0,0,0,0,73.247,1,73.247,0,0.079,0,0,0,0,0,amer,red,LY,10/10,13:29,27.3,amer23079,NA,amer23718,102,0.01403,0.04032,0,
pt_amerF23723xamerM23030,LY,3.941,128.63,21.265,2,10.633,0.5,0.165,26.047,26.047,0,0.202,0,0,47.018,2,23.509,27.925,0.366,16.008,2,8.004,2.823,0.124,amer,red,LY,10/5,12:55,27.6,amer23030,NA,amer23723,45,0.01496,0.03866,1,95.284
pt_amerF23725xamerM23065,NH,2.918,993.99,376.11,32,11.753,14.467,0.378,0,0,0,0,0,11,774.024,17,45.531,62.055,0.779,0,0,0,0,0,amer,brown,LY,10/10,13:52,27.1,amer23065,NA,amer23725,102,0.02491,0.03119,0,
pt_amerF23726xamerM23089,NH,4.427,928.93,314.903,17,18.524,34.772,0.339,0,0,0,0,2,0,31.505,1,31.505,0,0.034,0,0,0,0,0,amer,red,LY,9/26,13:31,27.3,amer23089,NA,amer23726,49,0.02122,0.02979,0,
pt_amerF23729xamerM23102,NH,11.674,927.43,267.571,38,7.041,5.257,0.289,0,0,0,0,1,1,302.346,24,12.598,8.66,0.326,4.266,2,2.133,1.321,0.005,amer,red,LY,10/05,13:50,26.4,amer23102,NA,amer23729,67,0.01385,0.02868,0,
pt_amerF23730xamerM23026,LY,3.44,217.72,116.296,5,23.259,24.97,0.534,18.213,18.213,0,0.084,0,0,68.952,3,22.984,10.416,0.317,36.033,3,12.011,4.154,0.166,amer,red,LY,10/10,12:56,27,amer23026,NA,amer23730,91,0.01745,0.04088,1,192.278
pt_amerF23731xamerM23021,NH,4.936,203.2,119.285,5,23.857,18.6,0.587,33.78,33.78,0,0.166,0,1,108.789,4,27.197,18.404,0.535,10.427,2,5.214,3.576,0.051,amer,brown,NH,10/13,11:21,26.8,amer23021,NA,amer23731,79,0.01588,0.04544,1,161.353
pt_amerF23732xamerM23107,NH,2.674,901.9,717.256,4,179.314,84.53,0.795,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,amer,brown,LY,10/5,13:02,26.5,amer23107,NA,amer23732,43,0.01413,0.022,0,
pt_amerF23733xamerM23095,LY,15.178,129.13,45.756,1,45.756,0,0.354,47.247,47.247,0,0.366,0,0,34.512,1,34.512,0,0.267,5.255,1,5.255,0,0.041,amer,brown,NH,10/13,12:44,27.2,amer23095,NA,amer23733,86,0.01718,0.03249,1,63.766
pt_amerF23734xamerM23049,LY,9.687,926.42,266.404,25,10.656,12.536,0.288,0,0,0,0,0,0,379.365,18,21.076,16.162,0.409,0,0,0,0,0,amer,red,LY,10/05,13:26,27.2,amer23049,NA,amer23734,52,0.02002,0.03316,0,
pt_amerF23736xamerM23046,LY,9.203,161.66,108.24,2,54.12,37.57,0.67,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,amer,brown,LY,9/19,15:20,26.6,amer23046,NA,amer23736,81,0.01311,0.0377,0,
pt_amerF23742xamerM23051,LY,3.179,439.44,103.079,12,8.59,7.769,0.235,34.982,34.982,0,0.08,0,0,194.112,9,21.568,16.581,0.442,28.512,2,14.256,7.056,0.065,amer,red,LY,10/20,14:17,26.9,amer23051,81,amer23741,107,0.01165,0.03232,1,398.639
pt_amerF23745xamerM23059,LY,13.195,215.22,98.308,4,24.577,16.613,0.457,36.234,36.234,0,0.168,0,0,50.996,1,50.996,0,0.237,5.767,1,5.767,0,0.027,amer,brown,NH,10/13,11:35,28.1,amer23059,NA,amer23745,79,0.01409,0.03678,1,162.505
pt_amerF23747xamerM23006,LY,9.48,379.88,164.669,8,20.584,9.778,0.433,0,0,0,0,6,0,26.988,2,13.494,4.955,0.071,0,0,0,0,0,amer,brown,LY,9/19,14:31,26.9,amer23006,NA,amer23747,81,0.0135,0.05302,0,
pt_amerF23750xamerM23067,NH,5.173,206.21,120.583,3,40.194,33.779,0.585,28.526,28.526,0,0.138,1,0,109.315,2,54.658,56.049,0.53,5.308,1,5.308,0,0.026,amer,red,NH,10/13,10:59,26.5,amer23067,NA,amer23750,100,0.01399,0.03411,1,169.371
pt_amerF23751xamerM23010,LY,11.461,696.7,545.153,10,54.515,57.058,0.782,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,amer,red,LY,9/19,14:09,27.1,amer23010,NA,amer23751,83,0.0145,0.04486,0,
pt_amerF23757xamerM23103,LY,5.424,149.65,81.797,2,40.898,22.488,0.547,57.973,57.973,0,0.387,0,0,42.563,1,42.563,0,0.284,9.525,1,9.525,0,0.064,amer,brown,LY,9/19,13:58,26.8,amer23103,NA,amer23757,83,0.01343,0.03698,1,84.595
pt_amerF23762xamerM23054,LY,4.194,368.87,314.502,3,104.834,64.794,0.853,0,0,0,0,11,0,34.249,1,34.249,0,0.093,0,0,0,0,0,amer,red,LY,9/26,12:38,26.9,amer23054,NA,amer23762,50,0.01429,0.03123,0,
pt_amerF23764xamerM23004,LY,1.941,933.93,675.776,30,22.526,28.759,0.724,0,0,0,0,0,0,168.666,5,33.733,27.81,0.181,0,0,0,0,0,amer,brown,LY,10/10,12:33,27.1,amer23004,NA,amer23764,101,0.01985,0.03437,0,
pt_amerF23777xamerM23043,LY,8.935,354.35,193.268,8,24.159,27.164,0.545,35.344,35.344,0,0.1,0,0,165.036,3,55.012,28.842,0.466,5.735,1,5.735,0,0.016,amer,brown,NH,10/13,11:05,26.6,amer23043,NA,amer23777,92,0.01651,0.03718,1,308.519
pt_amerF23780xamerM23033,LY,3.283,285.29,132.96,6,22.16,15.898,0.466,22.022,22.022,0,0.077,0,0,43.255,2,21.627,15.864,0.152,14.123,2,7.062,1.442,0.05,amer,red,LY,9/19,14:46,26.9,amer23033,NA,amer23780,81,0.0147,0.02699,1,252.171
pt_amerF23781xamerM23011,LY,6.931,905.4,296.294,17,17.429,23.208,0.327,0,0,0,0,0,0,279.015,10,27.901,24.176,0.308,0,0,0,0,0,amer,brown,NH,10/13,12:01,27.1,amer23011,NA,amer23781,79,0.01585,0.03373,0,
